	Rp_01.1	Rp_02.1	Rp_03.2	Rp_04.1	Rp_05.1	Rp_06.1	Rp_01.6	Rp_02.6	Rp_03.6	Rp_05.4	Rp_05.5	Rp_05.6	Rp_06.6	Rp_01.4	Rp_01.5	Rp_02.4	Rp_02.5	Rp_03.4	Rp_03.5	Rp_04.4	Rp_04.5	Rp_06.4	Rp_06.5	Rp_04.6
ASV_43	0.001462516	0.002511833	0.001361661	0.001590205	0.001203494	0.002006501	0.00233381	0.000557289	0.000833565	0.001322401	0.000692782	0.000296384	0.002213205	0.000575175	0.001206008	0.000792833	0.000611662	0.001356064	0.000338891	0.000493621	0.001166781	0.001453488	0.000340855	0.000140667
ASV_47	0.001322721	0.002248606	0.001063617	0.001662369	0.001162279	0.002253027	0.001053979	0.001448952	0.001166991	0.001851362	0.000944703	0.000169362	0.002827985	0.000690211	0.000438548	0.001347816	0.0010874	0.000678032	0.000813339	0.000797388	0.001372684	0	0.000409026	7.03E-05
ASV_72	0.001103557	0.001677837	0.000638511	0.001386022	0.001093001	0.001318494	0.001129263	0.000780205	0.000388997	0.001675042	0.000377881	0.000169362	0.001721382	0.000632693	0.00038373	0.0004757	0.000407775	0.000387447	0.000610004	0.000379708	0.000686342	0	0	0
ASV_89	0.007274135	0.005994036	0.003802149	0.007673306	0.006572385	0.011071783	0.009335241	0.002284886	0.002111698	0.002380323	0.003211991	0.000973834	0.002582073	0.002185667	0.006030041	0.002219932	0.001495175	0.00232468	0.00305002	0.001139125	0.004461222	0.01130491	0.005930875	0.001406668
ASV_96	0.006309004	0.00492562	0.003122922	0.007260363	0.00612145	0.010007865	0.008808251	0.003399465	0.00222284	0.001939522	0.003023051	0.000508087	0.001844338	0.001380421	0.005317399	0.001902799	0.001563137	0.00232468	0.003388911	0.001898542	0.004667124	0.009205426	0.004567455	0.000844001
ASV_109	0.006641499	0.005303324	0.002444782	0.004713275	0.004808657	0.007513225	0.003463073	0.002786447	0.001166991	0.002292163	0.002582189	0.000423406	0.001967294	0.001668009	0.005810766	0.002219932	0.001223325	0.002518404	0.003998916	0.001594775	0.005147563	0.010497416	0.005521849	0.001406668
ASV_119	0.004973408	0.003726224	0.0024677	0.005395651	0.004368081	0.008415932	0.008883535	0.003956754	0.002111698	0.002336243	0.00289709	0.000635109	0.00209025	0.000977798	0.004111391	0.000951399	0.00081555	0.001356064	0.002846686	0.001177096	0.00377488	0.00629845	0.004976481	0.001266001
ASV_126	0.004605208	0.003645681	0.002690108	0.00546152	0.004566871	0.006633187	0.008130693	0.002786447	0.001389275	0.002424403	0.001826427	0.00071979	0.002582073	0.000747728	0.002686109	0.001664949	0.000679625	0.001065478	0.00230446	0.001328979	0.003157172	0.006136951	0.003953916	0.001336334
ASV_130	0.003873921	0.003870325	0.002789957	0.005697105	0.004051305	0.007127048	0.008130693	0.001671868	0.000944707	0.001057921	0.001952387	0.000762131	0.00147547	0.001495456	0.003563206	0.001189249	0.001223325	0.001937234	0.001830012	0.001025213	0.001784489	0.007428941	0.003340378	0.001055001
ASV_140	0.004649591	0.004007869	0.004675071	0.006263627	0.004223178	0.005461304	0.001204547	0.001950513	0.002167269	0.001851362	0.00289709	0.001862986	0	0.001035316	0.002137923	0.001189249	0	0.000968617	0.002168903	0.000797388	0.00247083	0	0.005385507	0
ASV_145	0.000264173	0.000312769	0.000293543	0.000298202	0.000222409	0.000311958	0	0	0.000333426	0	0	0.000338725	0	0	0	0	6.80E-05	0	0	3.80E-05	0	0	0	7.03E-05
